key,date,H/A,team,opp_team,pinnacle_line,pinnacle_odds,5dimes_line,5dimes_odds,heritage_line,heritage_odds,bovada_line,bovada_odds,betonline_line,betonline_odds,bet365_line,bet365_odds,bodog_line,bodog_odds
20091011_Tampa Bay_Philadelphia,20091011,home,Philadelphia,Tampa Bay,-15.5,-101,-15,-109,,,-16,-110,-15.5,-110,,,-15.5,-110
20091011_Minnesota_Los Angeles,20091011,away,Minnesota,Los Angeles,-10,+103,-10,-105,,,-11,-110,-10,-110,,,-10,-110
20091011_Minnesota_Los Angeles,20091011,home,Los Angeles,Minnesota,+10,-111,+10,-105,,,+11,-110,+10,-110,,,+10,-110
20091011_Atlanta_San Francisco,20091011,away,Atlanta,San Francisco,+1,-114,+1,-110,,,+1,-110,-1,-110,,,PK-11,PK-110
20091011_Atlanta_San Francisco,20091011,home,San Francisco,Atlanta,-1,+105,-1,+100,,,-1,-110,+1,-110,,,PK-11,PK-110
20091011_Houston_Arizona,20091011,away,Houston,Arizona,+5.5,+100,+6,-105,,,+6,-110,+5.5,-110,,,+6,-110
20091011_Houston_Arizona,20091011,home,Arizona,Houston,-5.5,-108,-6,-105,,,-6,-110,-5.5,-110,,,-6,-110
20091011_New England_Denver,20091011,away,New England,Denver,-3,-106,-3,-107,,,-3.5,-110,-3,-115,,,-3,-110
20091011_New England_Denver,20091011,home,Denver,New England,+3,-102,+3,-103,,,+3.5,-110,+3,-105,,,+3,-110
20091011_Jacksonville_Seattle,20091011,away,Jacksonville,Seattle,+1,+110,+2.5,-105,,,+1.5,-110,+1.5,-105,,,+2.5,-110
20091011_Jacksonville_Seattle,20091011,home,Seattle,Jacksonville,-1,-119,-2.5,-105,,,-1.5,-110,-1.5,-115,,,-2.5,-110
20091011_Indianapolis_Tennessee,20091011,away,Indianapolis,Tennessee,-3,-118,-3.5,-101,,,-4.5,-110,-3.5,-105,,,-3.5,-105
20091011_Indianapolis_Tennessee,20091011,home,Tennessee,Indianapolis,+3,+109,+3.5,-109,,,+4.5,-110,+3.5,-115,,,+3.5,-115
20091012_N.Y. Jets_Miami,20091012,away,N.Y. Jets,Miami,-3,+104,-3,+100,,,-3.5,-110,-3,-110,,,-3,-105
20091012_N.Y. Jets_Miami,20091012,home,Miami,N.Y. Jets,+3,-112,+3,-110,,,+3.5,-110,+3,-110,,,+3,-115
20091018_Houston_Cincinnati,20091018,away,Houston,Cincinnati,+4,-115,+3.5,-107,,,+4,-120,+3.5,-110,,,+3.5,-110
20091018_Houston_Cincinnati,20091018,home,Cincinnati,Houston,-4,+106,-3.5,-103,,,-4,+100,-3.5,-110,,,-3.5,-110
20091018_Detroit_Green Bay,20091018,away,Detroit,Green Bay,+14,-104,+14,-107,,,+14,-110,+14,-110,,,+14,-110
20091018_Detroit_Green Bay,20091018,home,Green Bay,Detroit,-14,-104,-14,-103,,,-14,-110,-14,-110,,,-14,-110
20091018_Los Angeles_Jacksonville,20091018,away,Los Angeles,Jacksonville,+9.5,-106,+9.5,-105,,,+10,-110,+9.5,-110,,,+9.5,-110
20091018_Los Angeles_Jacksonville,20091018,home,Jacksonville,Los Angeles,-9.5,-102,-9.5,-105,,,-10,-110,-9.5,-110,,,-9.5,-110
20091018_Baltimore_Minnesota,20091018,away,Baltimore,Minnesota,+3,-113,+3,-115,,,+3,-110,+2.5,+100,,,+3,-120
20091018_Baltimore_Minnesota,20091018,home,Minnesota,Baltimore,-3,+104,-3,+105,,,-3,-110,-2.5,-120,,,-3,+100
20091018_N.Y. Giants_New Orleans,20091018,away,N.Y. Giants,New Orleans,+3.5,-107,+3.5,-108,,,+3,-105,+3.5,-115,,,+3.5,-120
20091018_N.Y. Giants_New Orleans,20091018,home,New Orleans,N.Y. Giants,-3.5,-101,-3.5,-102,,,-3,-115,-3.5,-105,,,-3.5,+100
